Input,Action
show me the date and time and will it rain today  ,show_date_time - check weather
show me the date and time and how is the humidity today  ,show_date_time - check weather
show me the date and time and show me last note,show_date_time - last_saved_note
show me the date and time and last note,show_date_time - last_saved_note
show me the date and time and last saved note,show_date_time - last_saved_note
show me the date and time and show me all notes,show_date_time - show_all_notes
show me the date and time and preview all notes,show_date_time - show_all_notes
date and time and what to watch in movie,show_date_time - suggest movie
date and time and tell me what to watch,show_date_time - suggest movie
date and time and suggest a movie,show_date_time - suggest movie
date and time and what to watch in movie,show_date_time - suggest movie
date and time and tell me what to watch,show_date_time - suggest movie
date and time and suggest a movie,show_date_time - suggest movie
date and time and recommend me a movie,show_date_time - suggest movie
date and time and can you tell me the weather  ,show_date_time - check weather
date and time and how is the weather today  ,show_date_time - check weather
date and time and is it hot today  ,show_date_time - check weather
date and time and is it cold today  ,show_date_time - check weather
date and time and is it going to rain today  ,show_date_time - check weather
date and time and will it rain today  ,show_date_time - check weather
date and time and how is the humidity today  ,show_date_time - check weather
date and time and show me last note,show_date_time - last_saved_note
date and time and last note,show_date_time - last_saved_note
date and time and last saved note,show_date_time - last_saved_note
date and time and show me all notes,show_date_time - show_all_notes
date and time and preview all notes,show_date_time - show_all_notes
what is the date and time and what to watch in movie,show_date_time - suggest movie
what is the date and time and tell me what to watch,show_date_time - suggest movie
what is the date and time and suggest a movie,show_date_time - suggest movie
what is the date and time and what to watch in movie,show_date_time - suggest movie
what is the date and time and tell me what to watch,show_date_time - suggest movie
what is the date and time and suggest a movie,show_date_time - suggest movie
what is the date and time and recommend me a movie,show_date_time - suggest movie
what is the date and time and can you tell me the weather  ,show_date_time - check weather
what is the date and time and how is the weather today  ,show_date_time - check weather
what is the date and time and is it hot today  ,show_date_time - check weather
what is the date and time and is it cold today  ,show_date_time - check weather
what is the date and time and is it going to rain today  ,show_date_time - check weather
what is the date and time and will it rain today  ,show_date_time - check weather
what is the date and time and how is the humidity today  ,show_date_time - check weather
what is the date and time and show me last note,show_date_time - last_saved_note
what is the date and time and last note,show_date_time - last_saved_note
what is the date and time and last saved note,show_date_time - last_saved_note
what is the date and time and show me all notes,show_date_time - show_all_notes
what is the date and time and preview all notes,show_date_time - show_all_notes
what to watch in movie and can you tell me the weather  ,suggest movie - check weather
what to watch in movie and how is the weather today  ,suggest movie - check weather
what to watch in movie and is it hot today  ,suggest movie - check weather
what to watch in movie and is it cold today  ,suggest movie - check weather
what to watch in movie and is it going to rain today  ,suggest movie - check weather
what to watch in movie and will it rain today  ,suggest movie - check weather
what to watch in movie and how is the humidity today  ,suggest movie - check weather
what to watch in movie and show me last note,suggest movie - last_saved_note
what to watch in movie and last note,suggest movie - last_saved_note
what to watch in movie and last saved note,suggest movie - last_saved_note
what to watch in movie and show me all notes,suggest movie - show_all_notes
what to watch in movie and preview all notes,suggest movie - show_all_notes
tell me what to watch and can you tell me the weather  ,suggest movie - check weather
tell me what to watch and how is the weather today  ,suggest movie - check weather
tell me what to watch and is it hot today  ,suggest movie - check weather
tell me what to watch and is it cold today  ,suggest movie - check weather
tell me what to watch and is it going to rain today  ,suggest movie - check weather
tell me what to watch and will it rain today  ,suggest movie - check weather
tell me what to watch and how is the humidity today  ,suggest movie - check weather
tell me what to watch and show me last note,suggest movie - last_saved_note
tell me what to watch and last note,suggest movie - last_saved_note
tell me what to watch and last saved note,suggest movie - last_saved_note
tell me what to watch and show me all notes,suggest movie - show_all_notes
tell me what to watch and preview all notes,suggest movie - show_all_notes
suggest a movie and can you tell me the weather  ,suggest movie - check weather
suggest a movie and how is the weather today  ,suggest movie - check weather
suggest a movie and is it hot today  ,suggest movie - check weather
suggest a movie and is it cold today  ,suggest movie - check weather
suggest a movie and is it going to rain today  ,suggest movie - check weather
suggest a movie and will it rain today  ,suggest movie - check weather
suggest a movie and how is the humidity today  ,suggest movie - check weather
suggest a movie and show me last note,suggest movie - last_saved_note
suggest a movie and last note,suggest movie - last_saved_note
suggest a movie and last saved note,suggest movie - last_saved_note
suggest a movie and show me all notes,suggest movie - show_all_notes
suggest a movie and preview all notes,suggest movie - show_all_notes
what to watch in movie and can you tell me the weather  ,suggest movie - check weather
what to watch in movie and how is the weather today  ,suggest movie - check weather
what to watch in movie and is it hot today  ,suggest movie - check weather
what to watch in movie and is it cold today  ,suggest movie - check weather
what to watch in movie and is it going to rain today  ,suggest movie - check weather
what to watch in movie and will it rain today  ,suggest movie - check weather
what to watch in movie and how is the humidity today  ,suggest movie - check weather
what to watch in movie and show me last note,suggest movie - last_saved_note
what to watch in movie and last note,suggest movie - last_saved_note
what to watch in movie and last saved note,suggest movie - last_saved_note
what to watch in movie and show me all notes,suggest movie - show_all_notes
what to watch in movie and preview all notes,suggest movie - show_all_notes
tell me what to watch and can you tell me the weather  ,suggest movie - check weather
tell me what to watch and how is the weather today  ,suggest movie - check weather
tell me what to watch and is it hot today  ,suggest movie - check weather
tell me what to watch and is it cold today  ,suggest movie - check weather
tell me what to watch and is it going to rain today  ,suggest movie - check weather
tell me what to watch and will it rain today  ,suggest movie - check weather
tell me what to watch and how is the humidity today  ,suggest movie - check weather
tell me what to watch and show me last note,suggest movie - last_saved_note
tell me what to watch and last note,suggest movie - last_saved_note
tell me what to watch and last saved note,suggest movie - last_saved_note
tell me what to watch and show me all notes,suggest movie - show_all_notes
tell me what to watch and preview all notes,suggest movie - show_all_notes
suggest a movie and can you tell me the weather  ,suggest movie - check weather
suggest a movie and how is the weather today  ,suggest movie - check weather
suggest a movie and is it hot today  ,suggest movie - check weather
suggest a movie and is it cold today  ,suggest movie - check weather
suggest a movie and is it going to rain today  ,suggest movie - check weather
suggest a movie and will it rain today  ,suggest movie - check weather
suggest a movie and how is the humidity today  ,suggest movie - check weather
suggest a movie and show me last note,suggest movie - last_saved_note
suggest a movie and last note,suggest movie - last_saved_note
suggest a movie and last saved note,suggest movie - last_saved_note
suggest a movie and show me all notes,suggest movie - show_all_notes
suggest a movie and preview all notes,suggest movie - show_all_notes
recommend me a movie and can you tell me the weather  ,suggest movie - check weather
recommend me a movie and how is the weather today  ,suggest movie - check weather
recommend me a movie and is it hot today  ,suggest movie - check weather
recommend me a movie and is it cold today  ,suggest movie - check weather
recommend me a movie and is it going to rain today  ,suggest movie - check weather
recommend me a movie and will it rain today  ,suggest movie - check weather
recommend me a movie and how is the humidity today  ,suggest movie - check weather
recommend me a movie and show me last note,suggest movie - last_saved_note
recommend me a movie and last note,suggest movie - last_saved_note
recommend me a movie and last saved note,suggest movie - last_saved_note
recommend me a movie and show me all notes,suggest movie - show_all_notes
recommend me a movie and preview all notes,suggest movie - show_all_notes
can you tell me the weather   and show me last note,check weather - last_saved_note
can you tell me the weather   and last note,check weather - last_saved_note
can you tell me the weather   and last saved note,check weather - last_saved_note
can you tell me the weather   and show me all notes,check weather - show_all_notes
can you tell me the weather   and preview all notes,check weather - show_all_notes
how is the weather today   and show me last note,check weather - last_saved_note
how is the weather today   and last note,check weather - last_saved_note
how is the weather today   and last saved note,check weather - last_saved_note
how is the weather today   and show me all notes,check weather - show_all_notes
how is the weather today   and preview all notes,check weather - show_all_notes
is it hot today   and show me last note,check weather - last_saved_note
is it hot today   and last note,check weather - last_saved_note
is it hot today   and last saved note,check weather - last_saved_note
is it hot today   and show me all notes,check weather - show_all_notes
is it hot today   and preview all notes,check weather - show_all_notes
is it cold today   and show me last note,check weather - last_saved_note
is it cold today   and last note,check weather - last_saved_note
is it cold today   and last saved note,check weather - last_saved_note
is it cold today   and show me all notes,check weather - show_all_notes
is it cold today   and preview all notes,check weather - show_all_notes
is it going to rain today   and show me last note,check weather - last_saved_note
is it going to rain today   and last note,check weather - last_saved_note
is it going to rain today   and last saved note,check weather - last_saved_note
is it going to rain today   and show me all notes,check weather - show_all_notes
is it going to rain today   and preview all notes,check weather - show_all_notes
will it rain today   and show me last note,check weather - last_saved_note
will it rain today   and last note,check weather - last_saved_note
will it rain today   and last saved note,check weather - last_saved_note
will it rain today   and show me all notes,check weather - show_all_notes
will it rain today   and preview all notes,check weather - show_all_notes
how is the humidity today   and show me last note,check weather - last_saved_note
how is the humidity today   and last note,check weather - last_saved_note
how is the humidity today   and last saved note,check weather - last_saved_note
how is the humidity today   and show me all notes,check weather - show_all_notes
how is the humidity today   and preview all notes,check weather - show_all_notes
show me last note and show me all notes,last_saved_note - show_all_notes
show me last note and preview all notes,last_saved_note - show_all_notes
last note and show me all notes,last_saved_note - show_all_notes
last note and preview all notes,last_saved_note - show_all_notes
last saved note and show me all notes,last_saved_note - show_all_notes
last saved note and preview all notes,last_saved_note - show_all_notes
most recent alarm,next_alarm
show me next alarm,next_alarm
what is the next alarm,next_alarm
view next alarm,next_alarm
most coming alarm,next_alarm
where am i,location
would you please open map,location
launch map,location
what time is it now,show_time
can i ask you what is the time,show_time
what is the time please,show_time
can you please tell me what is the time,show_time
do you have the time,show_time
do you know what time it is,show_time
can you tell me what time it is please,show_time
what day is ,show_date
what day is it  ,show_date
whats the date ,show_date
what day is it ,show_date
what is date ,show_date
show me the date and time,show_date_time
date and time,show_date_time
what is the date and time,show_date_time
what to watch in movie,suggest movie
tell me what to watch,suggest movie
suggest a movie,suggest movie
what to watch in movie,suggest movie
tell me what to watch,suggest movie
suggest a movie,suggest movie
recommend me a movie,suggest movie
can you tell me the weather  ,check weather
how is the weather today  ,check weather
is it hot today  ,check weather
is it cold today  ,check weather
is it going to rain today  ,check weather
will it rain today  ,check weather
how is the humidity today  ,check weather
show me last note,last_saved_note
last note,last_saved_note
last saved note,last_saved_note
show me all notes,show_all_notes
preview all notes,show_all_notes
,
